crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank
Palais de Justice PJHL,35 Rue Saint-Jean,69005,LYON,52223361800019,0.8202638626098633,ASSOCIATION DES CONCILIATEURS DE JUSTICE DE LA COUR D APPEL DE LYON,2 RUE DE LA BOMBARDE,LYON,69005,69385,3
Palais de Justice PJHL,35 Rue Saint-Jean,69005,LYON,22690001700857,0.7720586061477661,MDR PRINCIPALE,35 RUE SAINT JEAN,LYON,69005,69385,4
Palais de Justice PJHL,35 Rue Saint-Jean,69005,LYON,22690001700857,0.7720586061477661,MDR PRINCIPALE,35 RUE SAINT JEAN,LYON,69005,69385,4
Palais de Justice PJHL,35 Rue Saint-Jean,69005,LYON,94441934000012,0.740395188331604,SIRET 94441934000012,28 RUE SAINT JEAN,LYON 5EME,69005,69385,5
Palais de Justice PJHL,35 Rue Saint-Jean,69005,LYON,94441934000012,0.740395188331604,SIRET 94441934000012,28 RUE SAINT JEAN,LYON 5EME,69005,69385,5
Palais de la Mutualité (resamut),1 place Antonin Jutard,69003,LYON 3EME ARRONDISSEMENT,38960390300011,0.9915562868118286,SIRET 38960390300011,1 PLACE ANTONIN JUTARD,LYON,69003,69383,1
Palais de la Mutualité (resamut),1 place Antonin Jutard,69003,LYON 3EME ARRONDISSEMENT,42196869400032,0.9915562868118286,SIRET 42196869400032,1 PLACE ANTONIN JUTARD,LYON,69003,69383,2
Palais de la Mutualité (resamut),1 place Antonin Jutard,69003,LYON 3EME ARRONDISSEMENT,49453190800015,0.9915562868118286,SIRET 49453190800015,1 PLACE ANTONIN JUTARD,LYON,69003,69383,3
Palais de la Mutualité (resamut),1 place Antonin Jutard,69003,LYON 3EME ARRONDISSEMENT,77986855300016,0.9802140593528748,MUTUELLE LA FRATERNELLE 513E,1 PLACE ANTONIN JUTARD,LYON,69003,69383,4
Palais de la Mutualité (resamut),1 place Antonin Jutard,69003,LYON 3EME ARRONDISSEMENT,44440810800017,0.9752423763275146,MUTUELLE QUALICOURS,1 PLACE ANTONIN JUTARD,LYON,69003,69383,5
Paprec,14 Chemin de Genas,69800,SAINT-PRIEST,95450612700040,0.9951199889183044,RHONE RECYCLAGE,16 CHEMIN DE GENAS,SAINT-PRIEST,69800,69290,1
Paprec,14 Chemin de Genas,69800,SAINT-PRIEST,31882678100060,0.8608041405677795,LA CORBEILLE BLEUE,16 CHEMIN DE GENAS,SAINT-PRIEST,69800,69290,2
Paprec,14 Chemin de Genas,69800,SAINT-PRIEST,79011730300111,0.8606313467025757,TRANSPORT ET VALORISATION,16 CHEMIN DE GENAS,SAINT-PRIEST,69800,69290,3
Paprec,14 Chemin de Genas,69800,SAINT-PRIEST,81195524400017,0.5673775672912598,BOBEAU 84,14 CHEMIN DE GENAS,SAINT-PRIEST,69800,69290,4
Paprec,14 Chemin de Genas,69800,SAINT-PRIEST,41985346000550,0.32955214381217957,GNVERT,14 AVENUE CLEMENT ADER,SAINT-PRIEST,69800,69290,5
Parcours,23 ROUTE DE GRENOBLE,69800,SAINT-PRIEST,39939948400241,0.9371607899665833,PARCOURS,145 ANCIENNE ROUTE DE GRENOBLE,SAINT-PRIEST,69800,69290,1
Parcours,23 ROUTE DE GRENOBLE,69800,SAINT-PRIEST,44396738500016,0.7811477184295654,INDIVISION HERVE,23 ROUTE DE GRENOBLE,SAINT-PRIEST,69800,69290,2
Parcours,23 ROUTE DE GRENOBLE,69800,SAINT-PRIEST,48423205300039,0.5837523937225342,SEPE DE SAINT LOUP DE SAINTONGE,97 ALLEE ALEXANDRE BORODINE,SAINT-PRIEST,69800,69290,3
