selection_ordinal,query_id,predicted_siret_baseline,top1_correct_baseline,predicted_siret,top1_correct_candidate,truth_in_pool,ground_truth_siret,error_family,cohort,crm_name,crm_address,crm_postcode,crm_city,ground_truth_siren,predicted_siren,error_level,predicted_candidate_siret,truth_candidate_siret,predicted_denomination_unite_legale,truth_denomination_unite_legale,predicted_sirene_enseigne1,truth_sirene_enseigne1,predicted_sirene_denomination_usuelle,truth_sirene_denomination_usuelle,predicted_address_full,truth_address_full,predicted_postcode,truth_postcode,predicted_city,truth_city,predicted_etablissement_siege,truth_etablissement_siege,predicted_etat_administratif,truth_etat_administratif,predicted_activite_principale,truth_activite_principale,predicted_date_creation,truth_date_creation,predicted_date_debut,truth_date_debut,predicted_retrieval_rank,truth_retrieval_rank,predicted_name_jaro_max,truth_name_jaro_max,predicted_name_token_overlap_max,truth_name_token_overlap_max,predicted_idf_name,truth_idf_name,predicted_name_sim_max_etab,truth_name_sim_max_etab,predicted_name_sim_max_ul,truth_name_sim_max_ul,predicted_name_sim_max_sigle,truth_name_sim_max_sigle,predicted_addr_jaro,truth_addr_jaro,predicted_postcode_match,truth_postcode_match,predicted_city_match,truth_city_match,predicted_street_number_diff,truth_street_number_diff,predicted_addr_token_overlap,truth_addr_token_overlap,predicted_street_name_jaro,truth_street_name_jaro,predicted_name_addr_consistency,truth_name_addr_consistency,predicted_is_siege,truth_is_siege,predicted_is_association,truth_is_association,predicted_geo_exact_match,truth_geo_exact_match,predicted_name_norm_exact,truth_name_norm_exact,predicted_street_number_match,truth_street_number_match
11,12496,44028375206603,False,91930103600019,False,True,93263285400026,FORMER_OPERATOR,R53,CARREFOUR MARKET,1 Rue de l'Yser,59200,TOURCOING,932632854,919301036,WRONG_SIREN,91930103600019,93263285400026,VD RETAIL,EURATOURCOING DISTRIBUTION,CARREFOUR MARKET,CARREFOUR MARKET,,,RUE DE L'YSER,RUE DE L'YSER,59200,59200,TOURCOING,TOURCOING,True,True,A,A,47.11D,47.11D,2022-09-30,2024-09-30,2022-09-30,2024-09-30,14,15,1.0,1.0,1.0,1.0,7.73314094543457,7.73314094543457,1.0,1.0,0.48148149251937866,0.5698717832565308,0.0,0.0,0.8786324858665466,0.8786324858665466,1.0,1.0,1.0,1.0,9999.0,9999.0,0.75,0.75,1.0,1.0,0.8786324858665466,0.8786324858665466,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
12,3440,51316761900024,False,51316761900024,False,True,83115766400028,GROUP_ALIAS,R53,HOLDING CHEMINAL (R TECHNOLOGIES),229 Route des Grands Champs Sud,74580,VIRY,831157664,513167619,WRONG_SIREN,51316761900024,83115766400028,PREFA DU LEMAN,R-TECHNOLOGIES,,,,,229 ROUTE DES GRANDS CHAMPS SUD,229 ROUTE DES GRANDS CHAMPS SUD,74580,74580,VIRY,VIRY,False,True,A,A,23.61Z,23.65Z,2019-09-01,2020-05-01,2019-09-01,2021-07-01,1,2,0.8969696760177612,0.8969696760177612,0.5,0.5,7.176927089691162,7.176927089691162,0.8969696760177612,0.8969696760177612,0.4903799891471863,0.5391053557395935,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8969696760177612,0.8969696760177612,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
13,13801,40326772701042,False,40326772701042,False,True,30239426700140,HOTEL_OPERATOR_VS_HR_GIE,BLIND_FINAL39,Ibis Nantes Centre Tour Bretagne,19 rue Jean Jaurès,44000,NANTES,302394267,403267727,WRONG_SIREN,40326772701042,30239426700140,GIE DES HOTELS ECORED,SOCIETE D ETUDE ET DE PROMOTION HOTELIERE INTERNATIONALE,IBIS NANTES CENTRE TOUR BRETAGNE,IBIS,,,19 RUE JEAN JAURES,19 RUE JEAN JAURES,44000,44000,NANTES,NANTES,False,False,A,A,78.30Z,55.10Z,1997-01-01,1986-07-15,2016-11-19,2008-01-01,1,2,0.8842499852180481,0.8320000171661377,0.800000011920929,0.25,8.56774616241455,10.226454734802246,0.8842499852180481,0.8320000171661377,0.584810733795166,0.5954762101173401,0.0,0.46222221851348877,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8842499852180481,0.8320000171661377,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
14,5020,83435639600012,False,83435639600012,False,True,78071394700015,INSTITUTE_ASSOCIATION_VS_CFC_COLOCATED,OVERLAY60,INSTITUT LEMONNIER,60 Rue d'Herouville,14000,CAEN,780713947,834356396,WRONG_SIREN,83435639600012,78071394700015,INSTITUT LEMONNIER CFC,ASSOC INSTITUT PROFESSIONEL LEMONNIER,,,,,60 RUE D'HEROUVILLE,60 RUE D'HEROUVILLE,14000,14000,CAEN,CAEN,True,True,A,A,85.59A,85.32Z,2017-12-22,1900-01-01,2018-01-05,2008-01-01,2,1,0.9636363387107849,0.7678062915802002,0.6666666865348816,0.5,8.706320762634277,8.706320762634277,0.8791666626930237,0.0,0.9636363387107849,0.7678062915802002,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9636363387107849,0.7678062915802002,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
15,fresh:AC013450,82138035900025,False,82138035900025,False,True,75160184000059,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,BLIND_B1,CAPSTONE,300 Route Nationale,69760,LIMONEST,751601840,821380359,WRONG_SIREN,82138035900025,75160184000059,CAPSTONE LYON SUD,CAPSTONE,,,,,300 ROUTE NATIONALE 6 PARIS CHAMBERY,300 RTE NATIONALE 6,69760,69760,LIMONEST,LIMONEST,True,False,A,A,68.20B,64.20Z,2024-08-01,2020-08-17,2024-08-01,2020-08-17,1,12,1.0,1.0,1.0,1.0,5.8408660888671875,5.8408660888671875,1.0,0.3166666626930237,0.8941176533699036,1.0,0.0,0.0,0.9055555462837219,0.9108359217643738,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4000000059604645,0.893750011920929,0.9200000166893005,0.9055555462837219,0.9108359217643738,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
16,15763,77812868600111,False,77812868600111,False,True,79213618600022,LEGAL_SUCCESSOR_AFTER_CROSS_BORDER_MERGER,BLIND_FINAL39,PIONEER ARGENTEUIL,6 Avenue du Marais,95100,ARGENTEUIL,792136186,778128686,WRONG_SIREN,77812868600111,79213618600022,PIONEER FRANCE,PIONEER EUROPE NV,,,,PIONEER FRANCE,6 AVENUE DU MARAIS,6 AVENUE DU MARAIS,95100,95100,ARGENTEUIL,ARGENTEUIL,True,False,A,A,46.43Z,46.43Z,2002-01-02,2013-03-28,2011-12-31,2014-01-01,1,2,0.8999999761581421,0.8999999761581421,0.5,0.5,9.95948314666748,9.95948314666748,0.0,0.8999999761581421,0.8999999761581421,0.8823529481887817,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8999999761581421,0.8999999761581421,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
17,7749,81395305600047,False,81395305600047,False,True,87895687900026,MISALIGNED_WRONG_GROUND_TRUTH,OVERLAY60,ACTERIM DOUAI,4 RUE BECQUEREL,59500,DOUAI,878956879,813953056,WRONG_SIREN,81395305600047,87895687900026,ACTERIM NORD EST,ACTERIM LILLE,,,,,RUE BECQUEREL,RUE BECQUEREL,59500,59500,DOUAI,DOUAI,False,False,A,A,78.20Z,78.20Z,2017-07-01,2019-12-01,2017-07-01,2021-01-01,1,3,1.0,0.9076923131942749,1.0,0.5,8.545390129089355,8.545390129089355,0.0,0.5396825671195984,1.0,0.9076923131942749,1.0,0.0,0.904273509979248,0.904273509979248,1.0,1.0,1.0,1.0,9999.0,9999.0,0.6666666865348816,0.6666666865348816,1.0,1.0,0.904273509979248,0.8208020925521851,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
18,16700,88252490300011,False,88252490300011,False,True,78461733400098,MULTISITE_BRANCH,BLIND_B2,ESPI LEVALLOIS,12 rue Belgrand,92300,LEVALLOIS PERRET,784617334,882524903,WRONG_SIREN,88252490300011,78461733400098,ESPI ISRAEL,GROUPE ECOLE SUPERIEURE DES PROFESSIONS IMMOBILIERES,,,,,12 RUE BELGRAND,12 RUE BELGRAND,92300,92300,LEVALLOIS-PERRET,LEVALLOIS-PERRET,True,False,A,A,94.99Z,85.42Z,2020-03-03,2019-06-17,2020-03-03,2019-06-17,2,1,0.8727272748947144,0.6089743375778198,0.5,0.5,9.4932279586792,0.0,0.0,0.0,0.8727272748947144,0.6089743375778198,0.0,0.4469696879386902,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8727272748947144,0.6089743375778198,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
19,12605,77568013500701,False,77568013500701,False,True,80863414100242,MULTI_SITE_EXACT_ADDRESS,BLIND_B2,Promotrans,11 Rue John Hadley,59650,Villeneuve-d'Ascq,808634141,775680135,WRONG_SIREN,77568013500701,80863414100242,ASSOCIATION POUR LA PROMOTION SOCIALE ET LA FORMATION PROFESSIONNELLE DANS LES TRANSPORTS ROUTIERS,PROMOTRANS FORMATION PROFESSIONNELLE CONTINUE,,,,,RUE JOHN HADLEY,RUE JOHN HADLEY,59650,59650,VILLENEUVE-D'ASCQ,VILLENEUVE-D'ASCQ,False,False,A,A,85.59A,85.59A,1999-11-08,2015-07-01,2008-01-01,2015-07-01,9,11,1.0,0.9333333373069763,1.0,0.5,9.116357803344727,9.116357803344727,0.0,0.4512820541858673,1.0,0.9333333373069763,1.0,0.9333333373069763,0.855555534362793,0.855555534362793,1.0,1.0,1.0,1.0,9999.0,9999.0,0.75,0.75,1.0,1.0,0.855555534362793,0.7985185384750366,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
20,15330,93497059100012,False,93497059100012,False,True,32711362700019,RANKER_MISSED_TRUE_CANDIDATE_RANK23,R53,CLINIQUE DE TOURNAN,2 RUE JULES LEFEBVRE,77220,Tournan-en-Brie,327113627,934970591,WRONG_SIREN,93497059100012,32711362700019,,SOCIETE EXPLOITATION CLINIQUE DE TOURNAN,CLINIQUE,,CABINET D'ANESTHESIE CLINIQUE DE TOURNAN EN BRIE,,2 RUE JULES LEFEBVRE,RUE JULES LEFEBVRE,77220,77220,TOURNAN-EN-BRIE,TOURNAN-EN-BRIE,True,True,A,A,86.22C,86.10Z,2024-09-02,1983-04-01,2024-09-02,2008-01-01,20,44,0.9454545378684998,0.5174242258071899,1.0,0.25,6.305168628692627,6.305168628692627,0.9454545378684998,0.0,0.5292929410934448,0.5174242258071899,0.0,0.0,1.0,0.8740741014480591,1.0,1.0,1.0,1.0,0.0,9999.0,1.0,0.75,1.0,1.0,0.9454545378684998,0.4522671103477478,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
21,9546,53976478700039,False,53976478700039,False,True,44101664900036,RANKER_MISSED_TRUE_CANDIDATE_RANK30,R53,Alcyaconseil,112 Rue Garibaldi,69006,LYON 6E ARRONDISSEMENT,441016649,539764787,WRONG_SIREN,53976478700039,44101664900036,,ELAN JUDICIAIRE,ALCYACONSEIL,,,,112 RUE GARIBALDI,112 RUE GARIBALDI,69006,69006,LYON,LYON,True,True,A,A,69.10Z,69.10Z,2019-06-06,2006-08-28,2019-06-06,2008-01-01,4,26,1.0,0.46666666865348816,1.0,0.0,9.823427200317383,0.0,1.0,0.0,0.6210317611694336,0.46666666865348816,0.0,0.46666666865348816,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.46666666865348816,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
22,12298,33320208300015,False,33320208300015,False,True,44137831200025,STALE_ADDRESS_CURRENT_ACTIVE_HEADQUARTERS,ACCEPTOR30,DAMARTEX GROUP,25 Avenue de la Fosse aux Chenes,59100,ROUBAIX,441378312,333202083,WRONG_SIREN,33320208300015,44137831200025,DAMART,DAMARTEX,,,,,25 AVENUE DE LA FOSSE AUX CHENES,160 BOULEVARD DE FOURMIES,59100,59100,ROUBAIX,ROUBAIX,False,True,A,A,47.91B,64.20Z,1985-07-30,2017-07-01,2008-01-01,2017-07-01,1,15,0.9142857193946838,0.9142857193946838,0.5,0.5,9.800013542175293,9.800013542175293,0.9142857193946838,0.523809552192688,0.8857142925262451,0.9142857193946838,0.0,0.0,1.0,0.5562499761581421,1.0,1.0,1.0,1.0,0.0,135.0,1.0,0.10000000149011612,1.0,0.5736179351806641,0.9142857193946838,0.508571445941925,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
23,12237,84797861600013,False,84797861600013,False,True,42156896500139,STALE_ADDRESS_TRANSFER,BLIND_B2,OXYA,"1, rue de Londres",59120,LOOS,421568965,847978616,WRONG_SIREN,84797861600013,42156896500139,OXYA FOOTBALL CLUB,OXYA,,,,,1 RUE DE LONDRES,3 RUE DE LONDRES,59120,59120,LOOS,LOOS,True,False,A,A,93.12Z,62.02A,2013-01-09,2023-03-01,2013-01-09,2023-03-01,1,2,0.8444444537162781,1.0,0.3333333432674408,1.0,8.223295211791992,8.223295211791992,0.0,0.8799999952316284,0.8444444537162781,1.0,0.0,0.0,0.9823529124259949,0.9399510025978088,1.0,1.0,1.0,1.0,0.0,2.0,0.6000000238418579,0.6000000238418579,0.886904776096344,0.886904776096344,0.8295425176620483,0.9399510025978088,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
24,fresh:FR018872,51137608900021,False,51137608900021,False,True,50827119400021,SUCCESSOR_BY_MERGER_COLOCATION,BLIND_FINAL39,LEA ET LEO,7 PLACE DE L'EUROPE,14200,HEROUVILLE SAINT CLAIR,508271194,511376089,WRONG_SIREN,51137608900021,50827119400021,LEA ET LEO GROUPE,LEA ET LEO GRAND OUEST,,,,,7 PLACE DE L'EUROPE,7 PLACE DE L'EUROPE,14200,14200,HEROUVILLE-SAINT-CLAIR,HEROUVILLE-SAINT-CLAIR,True,True,A,A,64.20Z,88.91A,2009-04-01,2011-03-30,2022-06-01,2022-01-01,1,7,0.9176470637321472,0.9176470637321472,0.75,0.75,6.237978935241699,6.237978935241699,0.3444444537162781,0.9176470637321472,0.9176470637321472,0.8909090757369995,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9176470637321472,0.9176470637321472,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
25,7373,48146271100021,False,48146271100021,False,True,78931279000015,UIMM_LEGAL_ENTITY_CONFUSION,OVERLAY60,UIMM,6 Rue Ettore Bugatti,67201,Eckbolsheim,789312790,481462711,WRONG_SIREN,48146271100021,78931279000015,UNION IND METIERS METALLURGIE BAS RHIN,UNION DES INDUSTRIES ET METIERS DE LA METALLURGIE ALSACE,,,,,6 RUE ETTORE BUGATTI,6 RUE ETTORE BUGATTI,67201,67201,ECKBOLSHEIM,ECKBOLSHEIM,True,True,A,A,94.12Z,94.12Z,2011-07-01,2012-10-25,2012-12-31,2012-10-25,1,3,0.8615384697914124,0.8727272748947144,0.3333333432674408,0.5,7.4291815757751465,7.4291815757751465,0.0,0.0,0.8615384697914124,0.8727272748947144,0.8615384697914124,0.8727272748947144,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8615384697914124,0.8727272748947144,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
26,1710,20006502700019,True,20006502700167,False,True,20006502700019,ADJUDICATED_REVIEW,R30,COMMUNE DE THUE ET MUE,10 Place des Canadiens,14740,Thue et Mue,200065027,200065027,WRONG_SITE_SAME_SIREN,20006502700167,20006502700019,COMMUNE DE THUE ET MUE,COMMUNE DE THUE ET MUE,LOTISSEMENT COEUR BOURG BRETTEVILLE L'ORGUEILLEUSE,MAIRIE,,,10 PLACE DES CANADIENS,10 PL DES CANADIENS,14740,14210,THUE ET MUE,THUE ET MUE,False,True,A,A,42.99Z,84.11Z,2024-09-18,2017-01-01,2024-09-18,2017-01-01,2,1,0.8909090757369995,0.8909090757369995,0.25,0.25,6.0332350730896,6.0332350730896,0.528333306312561,0.5111111402511597,0.8909090757369995,0.8909090757369995,0.0,0.0,1.0,0.920095682144165,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6000000238418579,1.0,0.8745614290237427,0.8909090757369995,0.8197215795516968,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
