crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,candidate_state,candidate_last_treatment_date,rank,shap
APAJH 69 CAMSP DECINES,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,78457968202902,0.9994250535964966,FEDERATION APAJH,15 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,OUVERT,2025-01-18 02:17:49,1,
APAJH 69 CAMSP DECINES,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,38832234900019,0.9097551107406616,JKSG,15 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 15:59:34,2,
APAJH 69 CAMSP DECINES,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,42286122900017,0.7660428881645203,M.Y.,185 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 11:54:58,3,
APAJH 69 CAMSP DECINES,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,90182384900020,0.7114135026931763,SD2E,185 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,FERME,2025-02-01 02:13:05,4,
APAJH 69 CAMSP DECINES,15 AVENUE FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,49520638500017,0.6834422945976257,FPCAT,109 AVENUE FRANKLIN ROOSEVELT,DECINES-CHARPIEU,69150,69275,OUVERT,2024-03-30 10:49:24,5,
ASL,69 Rue Marcel Merieux,69960,CORBAS,50920124000025,0.9961549639701843,ASSOCIATION SYNDICALE LIBRE DU MARCHE DE GROS DE LYON CORBAS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2024-03-30 12:42:01,1,
ASL,69 Rue Marcel Merieux,69960,CORBAS,79249138300016,0.9893418550491333,DU 41,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2024-03-30 11:11:13,2,
ASL,69 Rue Marcel Merieux,69960,CORBAS,49057604800022,0.979223906993866,FIGITOMM,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-01-25 02:37:16,3,
ASL,69 Rue Marcel Merieux,69960,CORBAS,40091271300023,0.9744675159454346,COMPTOIR DE L AIL,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2024-03-30 17:51:42,4,
ASL,69 Rue Marcel Merieux,69960,CORBAS,89067249600019,0.9653550386428833,IMMO PSE,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-10-13 16:06:30,5,
ASLI - ZACM,4 Avenue du 24 Août 1944,69960,CORBAS,44112152200029,0.9999133348464966,ASLI ZACM,4 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2024-03-30 09:15:43,1,
ASLI - ZACM,4 Avenue du 24 Août 1944,69960,CORBAS,44112152200011,0.9912363290786743,ASLI ZACM,5 RUE DU MONT BLANC,CORBAS,69960,69273,FERME,2024-03-30 09:28:39,2,
ASLI - ZACM,4 Avenue du 24 Août 1944,69960,CORBAS,39797248000024,0.9677913188934326,Z.A.I.,4 AV DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2025-01-22 02:56:15,3,
ASLI - ZACM,4 Avenue du 24 Août 1944,69960,CORBAS,77564652400105,0.9512429237365723,A.S.T GRAND LYON,4 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,FERME,2025-01-31 09:17:24,4,
ASLI - ZACM,4 Avenue du 24 Août 1944,69960,CORBAS,41216431100042,0.9465559720993042,RONDE DE NUIT,4 AVENUE DU 24 AOUT 1944,CORBAS,69960,69273,OUVERT,2025-01-16 02:55:01,5,
AST DECINES,"35 rue Emile Zola, Rez-de-chaussée",69150,DECINES CHARPIEU,51930431500020,0.9790028929710388,AST SERVICES,78 RUE ELISEE RECLUS,DECINES-CHARPIEU,69150,69275,OUVERT,2025-03-05 13:07:15,1,
AST DECINES,"35 rue Emile Zola, Rez-de-chaussée",69150,DECINES CHARPIEU,51930431500012,0.945301353931427,AST SERVICES,20 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 07:28:05,2,
AST DECINES,"35 rue Emile Zola, Rez-de-chaussée",69150,DECINES CHARPIEU,92437886200305,0.41478022933006287,MC2A,35 RUE EMILE ZOLA,DECINES-CHARPIEU,69150,69275,OUVERT,2025-02-04 05:17:41,3,
