crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank,shap
DECINES - COLLEGE BRASSENS,17 AVENUE SALVADOR ALLENDE,69150,DECINES-CHARPIEU,53300386900013,0.9811413288116455,ASSOCIATION SPORTIVE DU COLLEGE GEORGES BRASSENS,50 RUE SULLY,DECINES-CHARPIEU,69150,69275,3,
DECINES - COLLEGE BRASSENS,17 AVENUE SALVADOR ALLENDE,69150,DECINES CHARPIEU,19691495600012,0.9494026899337769,CLG,107 RUE EMILE ZOLA,DECINES-CHARPIEU,69150,69275,4,
DECINES - COLLEGE BRASSENS,17 AVENUE SALVADOR ALLENDE,69150,DECINES-CHARPIEU,19691495600012,0.9494026899337769,CLG,107 RUE EMILE ZOLA,DECINES-CHARPIEU,69150,69275,4,
DECINES - COLLEGE BRASSENS,17 AVENUE SALVADOR ALLENDE,69150,DECINES CHARPIEU,50898280800018,0.8971801996231079,ASSOCIATION SPORTIVE DU COLLEGE MARYSE BASTIE,107 RUE EMILE ZOLA,DECINES-CHARPIEU,69150,69275,5,
DECINES - COLLEGE BRASSENS,17 AVENUE SALVADOR ALLENDE,69150,DECINES-CHARPIEU,50898280800018,0.8971801996231079,ASSOCIATION SPORTIVE DU COLLEGE MARYSE BASTIE,107 RUE EMILE ZOLA,DECINES-CHARPIEU,69150,69275,5,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES CHARPIEU,91389226100011,0.9538721442222595,K ASM,5 PLACE FRANCOIS MITTERRAND,DECINES-CHARPIEU,69150,69275,1,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES-CHARPIEU,91389226100011,0.9538721442222595,K ASM,5 PLACE FRANCOIS MITTERRAND,DECINES-CHARPIEU,69150,69275,1,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES CHARPIEU,52251565900012,0.7691718339920044,DECINES LOISIRS DECOUVERTES,PLACE ROGER SALENGRO,DECINES-CHARPIEU,69150,69275,2,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES-CHARPIEU,52251565900012,0.7691718339920044,DECINES LOISIRS DECOUVERTES,PLACE ROGER SALENGRO,DECINES-CHARPIEU,69150,69275,2,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES CHARPIEU,49303863200029,0.7255867123603821,MACONNERIE RODRIGUES,4 PLACE FRANCOIS MITTERRAND,DECINES-CHARPIEU,69150,69275,3,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES-CHARPIEU,49303863200029,0.7255867123603821,MACONNERIE RODRIGUES,4 PLACE FRANCOIS MITTERRAND,DECINES-CHARPIEU,69150,69275,3,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES CHARPIEU,22690001700600,0.7176920771598816,M.D.R PRINCIPALE,5 PLACE FRANCOIS MITTERRAND,DECINES-CHARPIEU,69150,69275,4,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES-CHARPIEU,22690001700600,0.7176920771598816,M.D.R PRINCIPALE,5 PLACE FRANCOIS MITTERRAND,DECINES-CHARPIEU,69150,69275,4,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES CHARPIEU,80844941700027,0.687099039554596,SEYFERT DECINES,23 RUE VAUCANSON,DECINES-CHARPIEU,69150,69275,5,
DECINES - MITTERAND,5 place François Mitterrand,69150,DECINES-CHARPIEU,80844941700027,0.687099039554596,SEYFERT DECINES,23 RUE VAUCANSON,DECINES-CHARPIEU,69150,69275,5,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,31874347300163,0.9996102452278137,DSL,29 ROUTE DE LYON,CORBAS,69960,69273,1,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,31874347300163,0.9996102452278137,DSL,29 ROUTE DE LYON,CORBAS,69960,69273,1,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,31874347300056,0.9995372295379639,DSL,RUE DE SAVOIE,CORBAS,69960,69273,2,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,31874347300056,0.9995372295379639,DSL,RUE DE SAVOIE,CORBAS,69960,69273,2,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,83131613800021,0.9967600703239441,DELTA SERVICE GROUP,RUE DE SAVOIE,CORBAS,69960,69273,3,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,83131613800021,0.9967600703239441,DELTA SERVICE GROUP,RUE DE SAVOIE,CORBAS,69960,69273,3,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,89207929400013,0.9882810711860657,DELTA MANAGERS,RUE DE SAVOIE,CORBAS,69960,69273,4,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,89207929400013,0.9882810711860657,DELTA MANAGERS,RUE DE SAVOIE,CORBAS,69960,69273,4,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,88461033800011,0.9066612124443054,XDE INVEST,RUE DE SAVOIE,CORBAS,69960,69273,5,
DELTA SERVICE LOCATION,29 Route de Lyon,69960,CORBAS,88461033800011,0.9066612124443054,XDE INVEST,RUE DE SAVOIE,CORBAS,69960,69273,5,
DEXIS,92 Avenue des Bruyères,69150,DECINES-CHARPIEU,91034831700017,0.9722653031349182,CNP,92 AVENUE DES BRUYERES,DECINES-CHARPIEU,69150,69275,1,
DEXIS,92 Avenue des Bruyères,69150,DECINES-CHARPIEU,99292617000018,0.9662413597106934,M&N GROUP,92 AVENUE DES BRUYERES,DECINES-CHARPIEU,69150,69275,2,
DEXIS,92 Avenue des Bruyères,69150,DECINES-CHARPIEU,82299922300024,0.9611392617225647,BCC,92 AVENUE DES BRUYERES,DECINES-CHARPIEU,69150,69275,3,
DEXIS,92 Avenue des Bruyères,69150,DECINES-CHARPIEU,97350016800057,0.9564998745918274,SBM,92 AVENUE DES BRUYERES,DECINES-CHARPIEU,69150,69275,4,
DEXIS,92 Avenue des Bruyères,69150,DECINES-CHARPIEU,84955409200015,0.9286625385284424,A ET L,92 AVENUE DES BRUYERES,DECINES-CHARPIEU,69150,69275,5,
