crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type
RESILIANS MARSEILLE;13011;13211;FR039366;MARSEILLE 11EME ARRONDISS;90829738500027;57 Montée De Saint Menet;MARSEILLE 11EME ARRONDISS;13211;13011;A;insee
ASL DOMAINE VALLEE VERTE;13011;13211;FR041523;Marseille;83229986100019;20 Rue de la Vallée Verte;Marseille;13211;13011;A;insee
FOULE ACCESS;13008;13208;FR042614;Marseille;49510924100036;396 Rue paradis;Marseille;13208;13008;A;insee
GIE AMPHITHEATRE;57000;57463;FR040492;METZ;48055789100045;23 Avenue de Blida;METZ;57463;57000;A;insee
SIRCA - Metz;57000;57463;FR037950;METZ;38815649900336;1 Rue De La Grange Aux Bois;METZ;57463;57070;A;insee
Smyths Toys Moulins-lès-Metz;57160;57487;FR041638;Moulins-lès-Metz;91289292400453;Rue du Gravier;Moulins-lès-Metz;57487;57160;A;insee
BURGER KING SERVICES METZ;57070;57463;;METZ;89534099000020;10 Boulevard Solidarité;METZ;57463;57070;A;insee
DGDDI   METZ;57000;57463;FR034011;METZ;16002301600316;25 Avenue Robert Schuman;METZ;57463;57000;A;insee
CGE METZ;57070;nan;FR035431;METZ;78334524200045;9 RUE DE VERCLY;METZ;57463;57070;A;cp_only
IMSA METZ;57000;57463;FR041024;METZ;48186857800032;17 avenue andré malraux;METZ;57463;57000;A;insee
GROUPE H2S - HERACLES;57000;57463;FR040394;METZ;48130566200035;21 Rue Dupont des Loges;METZ;57463;57000;A;insee
Lefevre Lorraine;57685;57039;FR032214;Augny;53014912900013;111 Rue des Bécottes;Augny;57039;57685;A;insee
Waves actisud;57160;57487;FR037740;MOULINS LES METZ;44047798200084;1 Chem. de la Pie Grièche;MOULINS LES METZ;57487;57160;A;insee
Campanile Metz Centre Gare;57000;57463;FR038712;METZ;52932834600034;90, RUE AUX ARÈNES;METZ;57463;57000;A;insee
ABALONE TT - METZ;57000;57463;FR039162;METZ;82160246300027;23 Rue Pasteur;METZ;57463;57000;A;insee
ASTORIA FINANCE MULHOUSE 2;68100;68224;FR038824;Mulhouse;44828622900035;28 Rue François Spoerry;Mulhouse;68224;68100;A;insee
Nike - Mulhouse;68100;68224;FR039433;Mulhouse;40539551800278;1 Boulevard de l'Europe, Centre Commercial Porte Jeune, units B34, B35, B36;Mulhouse;68224;68100;A;insee
AFPA - 01 MULHOUSE;68100;68224;FR041806;Mulhouse;82422814201429;RUE DE L'ECLUSE;Mulhouse;68224;68200;A;insee
ERAS-Agence de Mulhouse;68200;68224;;Mulhouse;38130763600286;54 Rue Marc Seguin;Mulhouse;68224;68200;A;insee
PNS INTERIM MULHOUSE;68100;68224;AC019192;Mulhouse;83386350900018;7 Rue Paul Déroulède;Mulhouse;68224;68100;A;insee
SOGEA EST BTP SE_RICHWILLER;68120;68270;;Richwiller;41390920100134;14 Rue des Artisans;Richwiller;68270;68120;A;insee
Fitness Park Mulhouse - Active Mulhouse;68100;68224;AC019103;Mulhouse;80411854500016;1 BOULEVARD DE L'EUROPE;Mulhouse;68224;68100;A;insee
BATIFER AGENCE;68120;68270;FR042000;Richwiller;65648056300054;19 Rue de Kingersheim;Richwiller;68270;68120;A;insee
HG EXPERTISE;68350;68056;FR038830;BRUNSTATT;50280410700014;2 RUE DES VOSGES;BRUNSTATT;68056;68350;A;insee
CENTRALE D ACHAT FLECK BEYER;68270;68376;FR038952;WITTENHEIM;81325478600011;9 RUE DE LORRAINE;WITTENHEIM;68376;68270;A;insee
LA MAISON HOTEL MULHOUSE;68100;68224;FR040594;Mulhouse;41961429200029;15 Rue Lambert;Mulhouse;68224;68100;A;insee
TIFFANY & CO;06000;06088;FR033066;NICE;38396517500052;6 Avenue de Verdun;NICE;06088;06000;A;insee
VU LOG;06000;06088;FR033292;NICE;49053352800058;21 Avenue Simone Veil;NICE;06088;06200;A;insee
BELRON INTERNATIONAL NICE;06000;06088;FR039842;NICE;42505055605644;15 Avenue Saint-Augustin;NICE;06088;06200;A;insee
CLINIQUE SAINT-GEORGE;06000;06088;FR032771;NICE;96880224900019;470 promenade des anglais;NICE;06088;06100;A;insee
LES EXPERTS DU VOYAGE;06000;06088;FR038706;NICE;81063988000022;2 Boulevard Victor Hugo;NICE;06088;06000;A;insee
Néméa Lido - RESIDENCE LE LIDO;06800;06027;FR034088;CAGNES SUR MER;50888829400024;132 AVENUE DE NICE;CAGNES SUR MER;06027;06800;A;insee
AGENCE CALIFORNIE;06200;06088;;NICE;34967201400017;229 Avenue de la Californie;NICE;06088;06200;F;insee
DGDDI - NICE;06300;06088;FR034586;NICE;16002301600324;2 Quai de la Douane;NICE;06088;06300;A;insee
CIBTP France MED-NICE;06000;06088;FR035570;NICE;77555835600041;4 AVENUE EMMANUEL PONTREMOLI;NICE;06088;06200;A;insee
INTERSPORT FRANCE/GS NICE CAP3000 ST LAU. DU VAR;06700;06123;FR036065;Saint-Laurent-du-Var;95223544800026;317 Avenue Eugène Donadei;Saint-Laurent-du-Var;06123;06700;A;insee
IN EXTENSO OPERATIONNEL IE0616NICEJUSSIEU;06000;06088;FR040018;NICE;38230196800014;16 Rue de Jussieu;NICE;06088;06000;F;insee
IN EXTENSO OPERATIONNEL/IE0617CAGNESSURMER;06800;06027;FR040117;Cagnes-sur-Mer;52805753200012;50 Chemin du Val Fleuri;Cagnes-sur-Mer;06027;06800;A;insee
DGDDI-DR NICE CRPC;06000;06088;FR040515;NICE;17060231200135;37 Avenue Thiers;NICE;06088;06000;A;insee
EGIS;06000;06088;FR036729;NICE;96850255900121;455 Promenade des Anglais;NICE;06088;06000;A;insee
NEMO CONSEIL;06000;06088;;NICE;48512423400017;5bis Avenue Mirabeau;NICE;06088;06000;A;insee
Société du Parc Sulzer (SPS);06300;06088;;NICE;53373378800012;Rue Sulzer;NICE;06088;06000;A;insee
EDEIS NICE;06200;06088;FR035170;NICE;44464953700107;29 Avenue Auguste Vérola;NICE;06088;06200;A;insee
NOVELLIPSE NICE;06000;06088;FR033065;NICE;82787625100030;36 BD MAITRE MAURICE SLAMA;NICE;06088;06200;A;insee
REGIE AUTONOME SPORTS LOISIRS;66210;66004;FR034855;LES ANGLES;41031537800019;20 Avenue de Mont-louis;LES ANGLES;66004;66210;A;insee
COMMUNE DE SOREDE;66690;66196;FR037854;Sorède;21660196300012;8 Rue de la Caserne;Sorède;66196;66690;A;insee
COMMUNE DE CERBERE;66290;66048;FR038515;Cerbère;21660048600015;23 Avenue General de Gaulle;Cerbère;66048;66290;A;insee
MAIRIE DE PORT VENDRES;66660;66148;FR039120;Port-Vendres;21660148400019;8 Rue Jules Pams;Port-Vendres;66148;66660;A;insee
COMMUNAUTE DE COMMUNES ALBERES CVI Charlemagne;66700;66008;FR039847;Argelès-sur-Mer;20004360200016;3 Impasse Charlemagne;Argelès-sur-Mer;66008;66700;A;insee
Nike - Claira;66530;66050;FR039418;CLAIRA;40539551800294;4 Route du Barcarès, Retail Park Claira, GMS4;CLAIRA;66050;66530;A;insee
DIAMFRANCE2;66400;66049;FR042149;Céret;80089100400015;3 Rue des Salines;Céret;66049;66400;A;insee
Hôtel Le Roussillon;66110;66003;FR033980;Amélie-les-Bains-Palalda;34075183300021;19 Rue des Albéres;Amélie-les-Bains-Palalda;66003;66110;A;insee
MAISON D ENFANTS LA PERLE CERDANE;66340;66130;FR033379;Osséja;77562407501581;331 Saint Roch Ouest;Osséja;66130;66340;A;insee
GICB;66650;66016;FR040243;BANYULS SUR MER;77563924800019;1950 ROUTE DES CRETES;BANYULS SUR MER;66016;66650;A;insee
Camping Bois Fleuri;66700;66008;FR032056;Argelès-sur-Mer;40975230000031;Route de Sorède;Argelès-sur-Mer;66008;66700;A;insee
SELECOM;66500;66149;FR035283;Prades;87859227800013;2 AVENUE DU PLA D'ALT;Prades;66149;66500;A;insee
CC PYRENEES CATALANES;66210;66098;FR030994;LA LLAGONNE;24660046400068;0 COL DE LA QUILLANE;LA LLAGONNE;66098;66210;A;insee
NORAUTO FRANCE 1248 PRADES;66500;66149;FR032238;Prades;47817518500022;Pla de Baix;Prades;66149;66500;A;insee
BOULANGER BL 713 BOULOU;66160;66024;FR035457;LE BOULOU;39097280000028;129 Route Departementale 900;LE BOULOU;66024;66160;A;insee
COMMUNE D ELNE (MAIRIE);66200;66065;FR036119;ELNE;21660065000016;14 Boulevard Voltaire;ELNE;66065;66200;A;insee
